New_Member?,Pledge_Status,Candidate_ID,CRPName,Party,District,General_Elec_Result,VotePercent,Total_PAC_Money,Number_of_PAC_Contributions,Business_PACs,Labor_PACs,Ideological_PACs,Lead_PACs,Other_PACs,Net_Receipts,Net_Individual_Total,Candidate_Contributions,Large_Indivs,Small_Indivs,Net_Spent
NO,PAC,N00033474,Suzanne Bonamici (D),D,OR01,W,63.70,525974,359,405446,101500,14528,500,4000,998548,473951,0,380005,93946,645156
NO,PAC,N00030815,Chuck Fleischmann (R),R,TN03,W,63.70,482374,319,404499,13000,18475,46400,0,1175408,685389,0,678144,7245,440676
NO,PAC,N00037422,Darren Soto (D),D,FL09,W,58.00,775369,482,403611,146500,119857,104401,1000,1409422,586687,0,556149,30538,1352694
NO,PAC,N00025280,Tim Ryan (D),D,OH13,W,60.80,626977,349,403452,202000,17525,3000,1000,1481019,834661,0,711155,123505,1465381
NO,PAC,N00035215,Robin Kelly (D),D,IL02,W,81.10,593375,381,402850,153000,20025,17500,0,880833,291653,0,229677,61976,839965
NO,PAC,N00038285,Jodey Arrington (R),R,TX19,W,75.30,456086,315,401652,2000,12934,38500,1000,1209959,764638,0,739647,24991,884874
NO,PAC,N00007833,Adam Smith (D),D,WA09,W,67.90,527746,269,400954,91292,16500,19000,0,1271607,574206,0,539343,34863,1414188
NO,PAC,N00031177,Mark Amodei (R),R,NV02,W,58.20,472795,260,398395,9500,20000,44900,0,1148063,630917,0,620525,10392,926765
NO,PAC,N00037442,Neal Dunn (R),R,FL02,W,67.50,458883,300,395199,0,24184,38500,1000,1293720,828062,0,796120,31942,899406
NO,PAC,N00035504,Liz Cheney (R),R,WY01,W,63.70,446183,272,394499,2000,22184,27500,0,822296,318455,0,310069,8386,636518
NO,PAC,N00026961,Yvette D Clarke (D),D,NY09,W,89.30,583352,389,392642,125500,21510,42700,1000,1006011,410267,0,337800,72467,966067
NO,PAC,N00029277,Gary Peters (D),D,MIS1,L,NA,420006,275,388756,28000,1500,1000,750,12046355,8794761,0,6906191,1888562,11067670
